# blastp
# Iteration: 0
# Query: g13490.t1
# RID: 412SPZZ1014
# Database: nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 100 hits found
g13490.t1	KAF7541825.1	98.951	572	6	0	1	572	1	572	0.0	1169	99.48
g13490.t1	KAF3002133.1	99.091	550	5	0	17	566	265	814	0.0	1143	99.64
g13490.t1	XP_007829210.1	91.259	572	47	1	1	572	1	569	0.0	1066	94.93
g13490.t1	KAI4595391.1	83.246	573	95	1	1	572	1	573	0.0	974	89.35
g13490.t1	KAK6223434.1	81.850	573	103	1	1	572	1	573	0.0	963	89.01
g13490.t1	KAI0142012.1	82.723	573	98	1	1	572	1	573	0.0	961	89.18
g13490.t1	KAI1864706.1	74.823	564	138	2	8	571	10	569	0.0	888	85.64
g13490.t1	XP_049176285.1	74.468	564	140	2	8	571	10	569	0.0	884	85.64
g13490.t1	XP_045953848.1	71.275	557	148	2	27	571	30	586	0.0	826	81.15
g13490.t1	KAI1844985.1	65.821	591	138	3	8	571	10	563	0.0	796	76.48
g13490.t1	KAI1495428.1	55.477	566	241	6	3	566	5	561	0.0	611	68.37
g13490.t1	KAJ9137868.1	54.696	543	234	5	31	569	33	567	0.0	611	69.80
g13490.t1	KAI1336864.1	55.908	567	237	5	3	566	5	561	0.0	609	68.08
g13490.t1	KAI1490166.1	54.577	568	247	5	1	566	3	561	0.0	608	67.96
g13490.t1	KAH9904260.1	55.635	559	231	6	16	569	18	564	0.0	607	69.05
g13490.t1	KAI1636243.1	54.754	568	246	6	1	566	3	561	0.0	607	68.13
g13490.t1	KAH7144124.1	54.078	564	248	5	5	566	7	561	0.0	607	68.62
g13490.t1	KAI0597508.1	55.044	565	237	7	8	566	10	563	0.0	606	67.96
g13490.t1	CAB1378264.1	53.251	569	255	5	4	569	7	567	0.0	602	67.66
g13490.t1	KKY20694.1	53.805	565	220	8	34	571	37	587	0.0	600	67.43
g13490.t1	KAG4033740.1	54.083	551	240	6	23	569	26	567	0.0	597	69.15
g13490.t1	KAA8569467.1	54.152	554	241	6	23	572	26	570	0.0	595	68.41
g13490.t1	KAI5919033.1	53.286	563	250	6	8	566	10	563	0.0	594	68.21
g13490.t1	KAH7011270.1	54.461	538	233	5	35	568	26	555	0.0	593	69.52
g13490.t1	KAI1841756.1	55.493	537	229	4	31	566	35	562	0.0	593	69.27
g13490.t1	KAI1868317.1	55.493	537	229	4	31	566	35	562	0.0	592	69.27
g13490.t1	XP_038812320.1	54.662	547	238	4	25	569	25	563	0.0	591	67.46
g13490.t1	XP_060344147.1	55.556	531	226	4	37	566	41	562	0.0	590	70.06
g13490.t1	XP_038736922.1	54.845	547	237	4	25	569	25	563	0.0	590	67.64
g13490.t1	THV50231.1	54.845	547	237	4	25	569	25	563	0.0	590	67.46
g13490.t1	KAF7925913.1	54.662	547	238	4	25	569	25	563	0.0	590	67.46
g13490.t1	XP_049167969.1	55.307	537	230	4	31	566	35	562	0.0	590	69.09
g13490.t1	XP_053051815.1	55.744	531	225	4	37	566	41	562	0.0	590	70.24
g13490.t1	XP_038761873.1	54.662	547	238	4	25	569	25	563	0.0	589	67.46
g13490.t1	XP_060378577.1	55.556	531	226	4	37	566	41	562	0.0	589	70.06
g13490.t1	XP_060310372.1	55.556	531	226	4	37	566	41	562	0.0	589	70.06
g13490.t1	KAI3528801.1	55.556	531	226	4	37	566	41	562	0.0	589	70.06
g13490.t1	KAH7141100.1	53.369	564	252	5	5	566	7	561	0.0	588	67.73
g13490.t1	KAH6986369.1	54.089	538	235	5	35	568	26	555	0.0	588	69.14
g13490.t1	CAH0056298.1	53.616	567	249	8	3	566	6	561	0.0	588	67.20
g13490.t1	KAK1458608.1	55.556	531	226	4	37	566	41	562	0.0	588	69.87
g13490.t1	TGO17644.1	54.296	547	240	4	25	569	25	563	0.0	588	67.64
g13490.t1	KAM0165000.1	54.495	545	238	4	27	569	30	566	0.0	588	68.07
g13490.t1	TEY39256.1	54.312	545	239	4	27	569	30	566	0.0	588	68.26
g13490.t1	KAM0133201.1	54.312	545	239	4	27	569	30	566	0.0	588	68.07
g13490.t1	XP_037191993.1	54.479	547	239	4	25	569	25	563	0.0	588	67.64
g13490.t1	KAB8295122.1	53.889	540	236	6	34	569	37	567	0.0	588	69.07
g13490.t1	KAH6880040.1	54.664	536	228	5	35	566	32	556	0.0	588	69.40
g13490.t1	XP_060392131.1	55.367	531	227	4	37	566	41	562	0.0	588	70.06
g13490.t1	KAF5003892.1	52.941	561	250	4	9	568	5	552	0.0	587	67.38
g13490.t1	KAN0120124.1	52.014	571	262	6	1	568	1	562	0.0	587	66.90
g13490.t1	XP_060362805.1	55.556	531	226	4	37	566	41	562	0.0	587	70.24
g13490.t1	TAQ86582.1	51.596	564	259	6	7	569	10	560	0.0	587	67.55
g13490.t1	KAF4468344.1	52.585	561	252	4	9	568	5	552	0.0	587	67.38
g13490.t1	XP_060441862.1	55.556	531	226	4	37	566	41	562	0.0	587	70.06
g13490.t1	XP_024550941.1	54.312	545	239	4	27	569	30	566	0.0	587	67.89
g13490.t1	KAL6415574.1	53.903	538	236	5	35	568	32	561	0.0	587	69.14
g13490.t1	KXH40772.1	55.556	531	226	4	37	566	41	562	0.0	587	69.87
g13490.t1	KAF4981689.1	53.663	546	239	5	24	566	26	560	0.0	586	68.32
g13490.t1	TGO39404.1	55.019	538	232	4	34	569	33	562	0.0	586	68.03
g13490.t1	TGO61171.1	54.296	547	240	4	25	569	25	563	0.0	586	67.09
g13490.t1	XP_060421561.1	55.556	531	226	4	37	566	41	562	0.0	586	69.87
g13490.t1	XP_035328842.1	55.367	531	227	4	37	566	41	562	0.0	586	69.68
g13490.t1	TGO78207.1	54.296	547	240	4	25	569	25	563	0.0	586	67.28
g13490.t1	CAK7213773.1	53.690	542	239	6	32	569	25	558	0.0	585	68.63
g13490.t1	KXH30248.1	55.367	531	227	4	37	566	41	562	0.0	585	69.68
